Country,Pork,Poultry,Beef,Lamb & Goat,Fish,Eggs,Milk - inc. cheese,Wheat and Wheat Products,Rice,Soybeans,Nuts inc. Peanut Butter
Argentina,37.2,41.53,1712.0,54.63,6.96,10.46,277.87,19.66,11.22,0.0,0.8700000000000001
Australia,85.44000000000003,49.54,1044.85,345.6500000000001,28.25,7.8199999999999985,334.01,13.44,14.12,0.09,15.45
Albania,38.51,14.21,694.3,536.5,6.15,11.44,432.62,26.44,9.96,0.0,7.72
Iceland,76.77,28.86,412.26,739.62,118.81,7.57,321.66,13.91,4.98,0.05,6.87
New Zealand,78.9,37.58,693.99,662.23,32.51,9.1,195.5,14.67,11.72,0.2,14.55
USA,97.83,53.72000000000001,1118.29,15.06,19.72,13.39,362.78,15.34,8.8,0.02,13.91
Uruguay,59.61,29.49,897.9599999999998,288.21,10.43,12.07,299.89,20.85,14.72,0.0,1.6800000000000002
Luxembourg,154.25,22.96,922.03,58.48,36.87,13.45,363.65,19.68,5.37,0.02,1.65
Brazil,44.6,48.34,1211.1699999999996,21.71,15.98,8.25,212.63,10.11,41.12000000000001,1.63,1.1900000000000002
Kazakhstan,36.67,19.74,721.4599999999998,334.79,8.32,7.619999999999999,410.4,17.6,9.37,0.01,9.1
Sweden,130.96,17.87,758.49,49.38,38.1,12.28,486.05,15.18,7.63,0.06,11.03
Bermuda,99.96,35.04,1022.94,94.9,53.04,13.71,136.12,10.47,6.88,0.1,10.12
Denmark,88.03,28.73,878.22,32.22000000000001,26.33,14.1,394.99,18.69,6.35,0.01,10.51
Finland,127.92,21.34,593.09,18.56,53.97,8.77,613.57,15.64,5.659999999999998,0.04,6.07
Ireland,114.68,28.21,689.6700000000002,143.58,27.77,8.229999999999999,415.73,20.59,3.84,0.11,7.26
Greece,100.2,16.91,496.81,436.7,23.02,9.31,363.59,23.65,8.5,0.01,18.59
France,116.98,24.630000000000006,734.73,114.87,36.58,12.06,343.72,20.68,6.24,0.02,9.54
Canada,80.74000000000002,39.4,933.45,33.97,23.25,11.9,267.46,16.2,16.19,0.42,14.18
Norway,83.21000000000002,22.57,611.91,187.01,60.96,10.48,372.25,18.52,5.58,0.05,9.35
Hong Kong SAR. China,237.54,58.93,796.75,77.74000000000002,67.76,13.32,150.76999999999995,10.13,55.64,1.26,24.44
French Polynesia,52.21,53.23,953.51,99.11,62.19000000000001,8.04,133.26999999999998,13.1,45.54,0.35,4.14
Israel,7.04,67.14,888.09,65.49000000000001,35.41,10.43,275.76,21.14,21.51,0.05,13.65
Switzerland,111.46,17.6,656.04,49.73,21.52,9.67,453.94,17.07,3.11,0.2,16.41
Netherlands,128.7,25.67,545.26,32.92,29.76,12.89,486.39,13.38,3.75,0.05,14.05
Kuwait,0.0,57.59,402.08,546.66,19.14,11.57,224.57,18.45,56.09,0.03,9.26
United Kingdom,91.28,33.89,559.15,157.23999999999995,24.73,10.18,330.75,18.81,8.18,0.02,7.4
Austria,186.04,19.99,528.9,40.62000000000001,19.42,13.49,367.62,15.47,4.73,0.93,13.95
Oman,0.04,33.849999999999994,465.95,450.71,34.42,7.17,216.91,12.22,72.36999999999998,0.09,2.97
Italy,142.57,19.99,573.9599999999998,32.22000000000001,24.91,12.25,351.66,27.91,7.35,0.0,13.51
Bahamas,115.88,49.13,614.69,182.8,30.02,5.7,149.22,7.619999999999999,30.67,0.04,7.13
Portugal,134.18,32.379999999999995,507.61,83.35,72.47,8.31,292.06,17.979999999999997,19.02,0.0,6.92
Malta,121.19,28.36,593.09,41.67,39.25,10.69,270.72,26.62,6.35,0.02,9.95
Armenia,34.230000000000004,14.34,606.6700000000002,105.76,6.96,10.739999999999998,297.74,24.91,4.07,0.0,4.51
Slovenia,99.78,25.2,568.71,27.67,12.39,8.6,334.75,19.72,5.05,0.34,9.35
Chile,87.35,39.23,736.2700000000002,14.71,12.21,9.16,165.39,19.97,11.33,0.02,3.93
Venezuela,25.59,42.19000000000001,798.91,11.21,13.32,5.17,167.78,9.38,29.93,0.0,0.62
Belgium,136.8,13.11,482.31,46.23,30.29,11.57,336.42999999999995,21.34,11.02,0.03,12.96
Germany,183.38,19.07,406.09,25.56,17.82,11.21,368.49,15.91,4.2700000000000005,0.4,14.09
Russia,90.82,29.54,523.97,49.03,33.24,14.17,232.99,24.98,6.03,0.02,2.87
Croatia,151.46,9.15,382.95,59.88,25.28,7.79,329.06,20.33,3.38,0.0,6.87
Belarus,142.89,33.61,527.98,3.85,25.15,14.57,190.49,11.53,4.06,0.14,5.95
Spain,173.15,30.75,374.92,75.64,46.03,12.239999999999998,234.01,17.9,10.65,0.01,13.17
Paraguay,92.88,6.8599999999999985,611.2900000000002,19.610000000000007,5.75,17.3,107.86,6.01,6.28,0.0,2.83
New Caledonia,70.44000000000003,47.65,495.89,68.29,30.94,8.129999999999999,153.84,15.59,22.36,0.25,5.24
South Africa,14.72,40.36,556.37,149.89,8.88,6.619999999999999,79.41000000000003,11.47,22.28,0.5700000000000001,1.84
Barbados,29.38,45.78,405.16,142.88000000000005,59.73,8.83,157.37,12.53,20.04,0.05,7.3599999999999985
Lithuania,161.65,28.83,138.55,8.4,67.67999999999999,12.04,420.85,23.19,3.93,0.01,3.77
Turkey,0.04,20.17,359.19,163.89,8.91,7.53,276.25,32.41,13.739999999999998,0.77,14.11
Estonia,105.05,22.68,221.87,15.41,20.41,11.63,405.74,17.04,3.28,0.02,7.59
Mexico,53.91,32.349999999999994,473.05,31.17,12.07,16.85,159.35000000000005,6.71,7.22,0.01,4.44
Costa Rica,36.39,26.29,469.97,0.7,18.07,9.69,261.06,7.5,58.47,0.69,2.44
Bolivia,31.47,36.86,610.37,60.23,3.48,4.76,65.58,9.53,34.54,0.0,16.21
Ecuador,51.11,23.47,512.55,15.41,8.25,7.3599999999999985,198.85,7.4700000000000015,57.68,0.0,1.73
Panama,47.71,33.1,629.5,0.35,17.64,4.159999999999998,100.12,7.4300000000000015,85.0,1.59,1.86
Czech Republic,145.72,20.51,251.49,11.91,13.17,10.71,278.04,17.67,6.13,0.37,4.37
Romania,89.58,16.52,147.5,119.42,9.69,11.89,339.48,25.72,3.31,0.0,3.19
Colombia,23.04,29.62,504.84,7.35,9.6,9.9,154.5,5.68,35.86,0.4,0.74
Maldives,4.3199999999999985,19.84,291.3,24.51,286.94,9.91,158.78,14.83,64.92,0.09,28.02
Cyprus,135.85000000000002,26.26,178.67,176.85000000000005,23.73,8.25,161.4,15.88,6.3199999999999985,0.02,8.139999999999999
Serbia,113.41,11.43,217.55,124.67,8.93,8.17,211.57,20.19,1.56,0.0,5.8599999999999985
United Arab Emirates,0.0,44.09,174.04,317.98,32.59,7.56,188.96,19.32,71.98,0.04,40.76000000000001
Algeria,0.0,7.9700000000000015,172.8,269.3,5.9700000000000015,7.4,201.6,35.36,3.8,0.0,3.68
Ukraine,72.77,26.03,276.48999999999995,14.36,24.32,16.54,206.58,20.05,3.84,0.01,4.74
Pakistan,0.0,5.38,272.17,86.14999999999998,2.99,2.71,260.85,21.67,15.68,0.0,1.47
Swaziland,8.6,6.64,465.95,67.94000000000001,2.01,1.38,80.61999999999998,7.08,27.07,0.25,11.4
Latvia,123.74,22.05,157.68,11.91,34.01,12.89,248.0,13.76,2.83,0.02,6.69
Bosnia and Herzegovina,33.2,14.15,281.42,16.459999999999994,6.48,4.119999999999999,247.89,17.84,2.41,0.6699999999999999,3.54
Fiji,15.26,21.76,276.48999999999995,206.62,55.9,5.92,57.26000000000001,16.06,58.38,0.14,2.3
South Korea,115.95,17.19,448.37,4.9,52.83,10.33,41.38,9.7,109.0,3.76,8.639999999999999
Poland,163.49,29.44,71.59,0.7,16.75,6.92,292.56,20.75,1.22,0.03,3.95
Saudi Arabia,0.0,52.69000000000001,199.03,229.03,19.14,4.9300000000000015,119.15,17.06,46.09,0.02,5.72
Botswana,2.62,5.73,242.23,131.67,6.35,1.79,167.70999999999995,7.28,9.03,0.52,1.91
Macedonia,36.63,20.16,237.3,32.92,8.729999999999999,5.8599999999999985,224.96,19.99,3.6,0.21,10.39
Hungary,123.63,25.54,153.06,3.85,7.87,11.44,226.55,20.97,2.75,0.0,1.13
Trinidad and Tobago,31.57,62.59,189.16,97.71,32.8,3.86,147.85000000000005,17.2,20.96,0.02,6.69
Tunisia,0.0,19.87,170.64,187.01,20.17,7.05,163.05,37.66,1.37,0.8500000000000001,11.22
Egypt,0.07,15.5,397.45,55.33,34.260000000000005,4.22,84.69,28.0,50.89,0.29000000000000004,3.22
Mauritius,14.44,41.37,184.84,142.88000000000005,31.39,5.81,167.04,21.74,58.3,0.14,4.119999999999999
Bulgaria,92.95,22.21,118.49,57.08,9.96,7.68,221.79,23.110000000000007,2.87,0.02,4.0
Morocco,0.04,22.31,248.1,152.69,27.85,6.14,77.89,34.27,1.41,0.0,5.72
Slovakia,112.49,16.25,160.15,5.6,13.4,14.739999999999998,203.89,23.57,3.69,0.01,6.55
Niger,0.32,1.16,276.8,146.03,4.31,0.28,83.93,0.91,16.85,0.0,12.3
Kenya,1.03,0.5,294.38,65.14,6.8199999999999985,1.6900000000000002,135.12,6.6099999999999985,16.56,0.09,2.9
Jordan,0.07,35.87,173.11,198.91,8.19,3.6,110.65,26.08,25.17,0.01,6.3
Japan,72.98,20.86,282.35,4.9,49.66,17.59,102.64,8.59,76.59,3.3,4.58
Georgia,31.610000000000007,13.19,186.38,22.06,16.64,5.619999999999999,212.61,31.17,3.38,0.0,4.37
Grenada,40.78,46.74,106.77,43.77,44.63,9.5,123.75,11.36,12.23,0.0,0.32
El Salvador,11.43,21.31,183.6,0.7,9.98,8.739999999999998,177.11,5.38,13.48,0.36,1.95
Cuba,70.14999999999999,21.65,197.18,43.42,7.6,9.02,142.35000000000005,10.42,86.64,2.85,0.41
China,136.02,14.18,157.99,109.61,33.55,17.23,46.52,12.08,100.05,1.65,11.31
Honduras,22.94,21.8,221.87,1.4,4.31,4.7700000000000005,130.09,7.119999999999999,18.45,0.0,1.33
Taiwan. ROC,139.35000000000002,34.51,160.76999999999995,32.22000000000001,29.2,12.02,59.43,9.71,58.67,7.63,16.04
Angola,31.47,18.62,259.82,37.82,24.33,1.02,17.52,7.77,10.39,0.23,4.0
Jamaica,14.12,56.41,122.51,44.13,35.05,2.09,129.81,13.48,30.01,0.0,3.22
Namibia,14.9,13.09,115.72,79.5,17.08,1.5,104.05,6.91,8.07,0.03,1.26
Belize,59.46,30.41,149.97,4.9,12.09,4.46,114.38,10.31,36.37,0.8500000000000001,9.88
Malaysia,27.47,44.05,201.19,32.92,78.92,15.22,36.01,9.73,103.98,0.02,5.13
Zimbabwe,9.38,5.34,227.42,33.620000000000005,4.4700000000000015,1.61,45.44,5.9700000000000015,12.91,0.24,3.93
Guatemala,17.17,17.67,172.8,8.05,1.72,13.42,66.38,6.85,7.24,0.14,3.54
Uganda,11.93,1.62,158.92000000000004,43.77,19.96,0.89,53.09,1.93,5.94,0.0,6.67
Nepal,2.37,1.6800000000000002,243.47,73.54,3.46,1.3,74.21000000000002,9.62,112.29,0.0,4.28
Iran,0.0,27.26,110.47,129.22,15.65,7.07,66.51,29.24,38.33,0.0,21.52
Tanzania,1.13,1.98,187.92,44.83,8.78,0.53,57.39,3.04,26.89,0.02,10.51
Senegal,3.33,4.96,180.52,111.71,36.63,1.5,24.02,7.119999999999999,92.51,0.0,7.13
Peru,13.63,12.59,144.72,35.02,25.130000000000006,8.05,88.53,10.7,62.6,0.72,1.15
Nicaragua,11.96,22.89,145.96,0.35,5.73,4.5,121.3,5.37,55.45,0.0,4.18
Vietnam,123.88,13.28,229.58,4.9,42.34,3.53,23.3,2.0,184.99,2.59,11.12
Ethiopia,0.07,0.71,111.4,54.98,0.38,0.33,62.87,5.96,2.88,0.2,2.14
Myanmar,40.03,23.49,152.44,31.17,86.64,5.92,44.84,1.1900000000000002,169.94,0.17,7.9700000000000015
Congo,8.46,13.99,134.23,14.01,41.86,0.55,15.23,7.64,21.130000000000006,0.0,5.45
Zambia,5.88,3.53,146.88000000000005,23.81,9.9,3.05,13.83,2.31,3.9,3.29,8.92
Cameroon,5.2,3.53,128.68,49.03,23.49,0.37,21.75,4.31,30.52,0.29000000000000004,16.439999999999998
Madagascar,9.06,3.37,231.74,19.96,7.04,0.65,35.37999999999999,1.72,131.20999999999998,0.0,0.62
Malawi,19.29,1.48,72.52,72.49000000000002,11.7,0.99,11.37,2.24,6.08,0.7899999999999999,8.99
Guinea,0.5700000000000001,1.97,193.17,56.03,14.66,1.79,29.37,3.54,124.28,0.0,7.33
Nigeria,5.2,1.86,71.9,95.25,25.59,3.18,11.27,3.97,36.13,1.1700000000000002,12.27
Rwanda,2.69,1.44,78.07,67.59,6.2,0.15000000000000002,10.3,2.16,11.13,0.8700000000000001,1.03
